336037,1,2,5,AC Gilchrist,SB Styris,M Ntini,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,2,6,SB Styris,AC Gilchrist,M Ntini,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,3,1,AC Gilchrist,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,3,2,AC Gilchrist,SB Styris,MS Gony,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,3,3,AC Gilchrist,SB Styris,MS Gony,0,0,0,0,1,caught,AC Gilchrist,A Mukund,NA,Deccan Chargers,Chennai Super Kings
336037,1,3,4,Y Venugopal Rao,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,3,5,Y Venugopal Rao,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,3,6,Y Venugopal Rao,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,4,1,SB Styris,Y Venugopal Rao,M Ntini,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,4,2,SB Styris,Y Venugopal Rao,M Ntini,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,4,3,SB Styris,Y Venugopal Rao,M Ntini,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,4,4,Y Venugopal Rao,SB Styris,M Ntini,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,4,5,SB Styris,Y Venugopal Rao,M Ntini,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,4,6,Y Venugopal Rao,SB Styris,M Ntini,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,5,1,SB Styris,Y Venugopal Rao,MS Gony,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,5,2,Y Venugopal Rao,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,5,3,Y Venugopal Rao,SB Styris,MS Gony,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,5,4,Y Venugopal Rao,SB Styris,MS Gony,4,0,4,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,5,5,Y Venugopal Rao,SB Styris,MS Gony,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,5,6,Y Venugopal Rao,SB Styris,MS Gony,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,6,1,Y Venugopal Rao,SB Styris,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,6,2,SB Styris,Y Venugopal Rao,JA Morkel,0,4,4,0,0,NA,NA,NA,legbyes,Deccan Chargers,Chennai Super Kings
336037,1,6,3,SB Styris,Y Venugopal Rao,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,6,4,Y Venugopal Rao,SB Styris,JA Morkel,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
336037,1,6,5,Y Venugopal Rao,SB Styris,JA Morkel,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Chennai Super Kings
